Date,Close,High,Low,Open,Volume
3/26/1986,0.057906128,0.058437344,0.055781267,0.056312483,22752000
3/27/1986,0.058968592,0.058968592,0.057906161,0.057906161,16848000
3/31/1986,0.058437362,0.058968578,0.057374931,0.058968578,12873600
4/1/1986,0.057906128,0.058437344,0.057906128,0.058437344,11088000
4/2/1986,0.058437362,0.059499793,0.057906147,0.057906147,27014400
4/3/1986,0.058968592,0.060562239,0.058968592,0.058968592,23040000
4/4/1986,0.058968592,0.059499808,0.058968592,0.058968592,26582400
4/7/1986,0.057906128,0.059499774,0.056843698,0.058968559,16560000
4/8/1986,0.058437362,0.059499793,0.057906147,0.057906147,10252800
4/9/1986,0.059499778,0.060030993,0.058437347,0.058437347,12153600
4/10/1986,0.060031004,0.06056222,0.058437358,0.059499789,13881600
4/11/1986,0.061093446,0.062156488,0.06056223,0.06056223,17222400
4/14/1986,0.061624691,0.062156518,0.061093475,0.061093475,12153600
4/15/1986,0.061624691,0.061624691,0.059499828,0.061624691,9302400
4/16/1986,0.063750118,0.064281333,0.06109343,0.061624646,31910400
4/17/1986,0.064281344,0.064281344,0.063750129,0.063750129,22003200
4/18/1986,0.06215645,0.064281311,0.061624624,0.064281311,21628800
4/21/1986,0.06215645,0.062687665,0.060562194,0.06215645,22924800
4/22/1986,0.061093446,0.062156488,0.061093446,0.062156488,15552000
4/23/1986,0.061359044,0.061624654,0.060562223,0.061093439,15609600
4/24/1986,0.067468628,0.068531059,0.061093433,0.061359038,62352000
4/25/1986,0.071718976,0.074640663,0.067999857,0.067999857,85795200
4/28/1986,0.072250158,0.072781373,0.071187116,0.071718942,28886400
4/29/1986,0.07012473,0.072250204,0.069593515,0.072250204,30326400
4/30/1986,0.068531059,0.07065592,0.066937413,0.070124705,30902400
5/1/1986,0.067468628,0.068531059,0.066406198,0.068531059,54345600
5/2/1986,0.067468628,0.068531059,0.066937413,0.067468628,20246400
5/5/1986,0.066937409,0.067468625,0.066937409,0.067468625,3254400
5/6/1986,0.067468628,0.068531059,0.067468628,0.067468628,9734400
5/7/1986,0.067468628,0.067999844,0.066406198,0.067468628,5155200
5/8/1986,0.067999847,0.067999847,0.066937416,0.067468632,3542400
5/9/1986,0.067468628,0.067999844,0.067468628,0.067999844,6076800
5/12/1986,0.067999847,0.069593493,0.067468632,0.067468632,10483200
5/13/1986,0.068531059,0.069062274,0.067999843,0.067999843,3830400
5/14/1986,0.067999847,0.068531063,0.067999847,0.068531063,9302400
5/15/1986,0.067999847,0.069062278,0.067999847,0.067999847,3801600
5/16/1986,0.068531059,0.070124705,0.067999843,0.067999843,11952000
5/19/1986,0.067468628,0.068531059,0.066937413,0.068531059,11001600
5/20/1986,0.066937409,0.067468625,0.066406194,0.067468625,61977600
5/21/1986,0.065875001,0.067468648,0.065875001,0.066937432,8092800
5/22/1986,0.065875001,0.066406217,0.065875001,0.065875001,4406400
5/23/1986,0.065875001,0.066937432,0.065875001,0.065875001,4089600
5/27/1986,0.067999847,0.067999847,0.065874986,0.065874986,13881600
5/28/1986,0.07012473,0.07012473,0.067999868,0.067999868,15523200
5/29/1986,0.071718976,0.072781407,0.069593503,0.070124718,45676800
5/30/1986,0.074375056,0.075437487,0.072250194,0.072250194,27072000
6/2/1986,0.072250158,0.074375018,0.072250158,0.074375018,19728000
6/3/1986,0.072250158,0.072250158,0.071187116,0.072250158,5011200
6/4/1986,0.071718976,0.072781407,0.071187149,0.072250191,4723200
6/5/1986,0.072781406,0.072781406,0.071187149,0.071718975,13708800
6/6/1986,0.072781406,0.072781406,0.071718975,0.072781406,3427200
6/9/1986,0.069593482,0.072781385,0.069593482,0.072781385,12672000
6/10/1986,0.069593482,0.069593482,0.068531051,0.069593482,3427200
6/11/1986,0.069593482,0.069593482,0.068531051,0.069593482,2304000
6/12/1986,0.066937409,0.069593486,0.066406194,0.069593486,13708800
6/13/1986,0.066937409,0.067468625,0.066406194,0.066937409,7891200
6/16/1986,0.06640622,0.067468651,0.065875005,0.066937436,9590400
6/17/1986,0.067468628,0.068531059,0.066937413,0.066937413,13075200
6/18/1986,0.066937409,0.067468625,0.065874979,0.067468625,4348800
6/19/1986,0.06640622,0.067468651,0.065875005,0.066937436,8467200
6/20/1986,0.066671826,0.066937431,0.066406216,0.066406216,3801600
6/23/1986,0.067468628,0.067468628,0.065343767,0.066671808,46195200
6/24/1986,0.066937409,0.06799984,0.066406194,0.067468625,14572800
6/25/1986,0.065875001,0.067468648,0.065875001,0.066937432,15235200
