Timestamp,Open,High,Low,Close,Adj Close,Volume
11/30/2020,6220,6580,6220,6520,5948.65332,468302500
12/7/2020,6520,6830,6425,6820,6222.364746,615927500
12/14/2020,6830,7000,6605,6830,6250.364746,635549500
12/21/2020,6740,6905,6620,6780,6204.608398,198972500
12/28/2020,6775,6855,6700,6835,6254.94043,134825000
1/4/2021,6860,7360,6850,7345,6721.658691,510012500
1/11/2021,7345,7380,6840,7120,6515.75293,437332500
1/18/2021,7120,7300,7000,7035,6437.967285,405086500
1/25/2021,6955,7000,6595,6820,6241.213379,547096500
2/1/2021,6965,7055,6800,6920,6332.726074,332188500
2/8/2021,7000,7050,6720,6800,6222.910156,241406500
2/15/2021,6880,6960,6735,6790,6213.759277,343837000
2/22/2021,6820,7045,6645,7045,6447.118652,588087500
3/1/2021,7120,7160,6720,6720,6149.699707,489473500
3/8/2021,6700,6880,6600,6665,6099.367676,317628000
3/15/2021,6710,6770,6605,6620,6058.186523,405674000
3/22/2021,6720,6720,6300,6360,5820.251953,646752000
3/29/2021,6370,6455,6145,6155,5632.649414,492103500
4/5/2021,6135,6320,6060,6065,5550.286133,539193000
4/12/2021,6050,6370,5980,6270,5818.322266,483806000
4/19/2021,6200,6400,6165,6285,5832.241699,422116500
4/26/2021,6370,6480,6315,6390,5929.677734,385560000
5/3/2021,6350,6460,6340,6420,5957.516113,256968500
5/10/2021,6400,6500,6305,6500,6031.75293,199738500
5/17/2021,6400,6455,6260,6325,5869.360352,355255500
5/24/2021,6300,6480,6270,6375,5915.757813,828992000
5/31/2021,6375,6620,6375,6530,6059.591797,400227500
6/7/2021,6575,6620,6360,6410,5948.236328,349067500
6/14/2021,6445,6470,6210,6250,5799.762695,384098000
6/21/2021,6250,6390,6055,6055,5618.810059,327645000
6/28/2021,6050,6140,6000,6110,5669.848145,284755000
7/5/2021,6110,6180,5980,6170,5725.525879,223860500
7/12/2021,6170,6175,5980,6005,5572.412109,270109000
7/19/2021,6005,6190,6005,6005,5572.412109,243911000
7/26/2021,6005,6100,5905,5960,5530.653809,437512000
8/2/2021,6025,6360,5985,6200,5753.364746,365095000
8/9/2021,6250,6435,6115,6420,5957.516113,334982500
8/16/2021,6420,6760,6420,6590,6115.27002,475697000
8/23/2021,6570,6605,6470,6565,6092.070801,360787000
8/30/2021,6520,6605,6455,6575,6101.350098,308537500
9/6/2021,6595,6605,6410,6555,6082.791504,313276500
9/13/2021,6590,6595,6480,6585,6110.629883,345874500
9/20/2021,6510,6595,6470,6580,6105.990723,302428000
9/27/2021,6540,7000,6500,6960,6458.615723,489786500
10/4/2021,6910,7300,6860,7255,6732.365234,478406500
10/11/2021,7255,8250,7245,7525,6982.914063,699794700
10/18/2021,7475,7550,7350,7525,6982.914063,397781800
10/25/2021,7600,7600,7350,7400,6866.919434,301674500
11/1/2021,7375,7600,7250,7575,7029.312988,341800400
11/8/2021,7600,7750,7500,7500,6959.714844,325014000
11/15/2021,7400,7575,7325,7475,6936.516113,373956600
11/22/2021,7400,7575,7175,7400,6889.961914,320071300
11/29/2021,7325,7525,7275,7350,6843.40918,408520600
12/6/2021,7450,7475,7275,7300,6796.85498,331989100
12/13/2021,7300,7500,7275,7375,6866.685547,379262400
12/20/2021,7325,7425,7300,7350,6843.40918,174278700
12/27/2021,7375,7400,7300,7325,6820.131836,185665400
1/3/2022,7325,7700,7325,7600,7076.177734,399231200
1/10/2022,7650,7900,7625,7750,7215.838379,352767100
1/17/2022,7775,7950,7550,7800,7262.393066,295440300
1/24/2022,7675,7825,7625,7625,7099.45459,370809200
1/31/2022,7625,7825,7625,7800,7262.393066,196546600
2/7/2022,7750,7950,7650,7700,7169.285156,393761800
2/14/2022,7750,7975,7725,7950,7402.054199,282011800
2/21/2022,7900,8175,7850,8050,7495.161621,440183400
2/28/2022,8000,8225,7700,7700,7169.285156,500892100
3/7/2022,7700,8100,7650,8075,7518.438965,478041000
3/14/2022,8150,8300,7800,7900,7355.5,622882400
3/21/2022,7900,7950,7800,7900,7355.5,406476700
3/28/2022,7875,8075,7825,7900,7468.228516,409199700
4/4/2022,7900,7900,7700,7725,7302.792969,368978500
4/11/2022,7725,7850,7625,7700,7279.15918,292901000
4/18/2022,7700,8000,7625,8000,7562.763184,529579900
4/25/2022,7925,8250,7925,8125,7680.931152,351554600
5/2/2022,8125,8125,7600,7600,7184.624512,456796600
5/9/2022,7250,7700,7250,7325,6924.654785,878479100
5/16/2022,7275,7575,7275,7375,6971.921875,612204500
5/23/2022,7325,7600,7325,7575,7160.991699,375206500
5/30/2022,7600,7750,7425,7450,7042.822754,597222400
6/6/2022,7300,7600,7275,7350,6948.289063,543289400
6/13/2022,7300,7650,7250,7625,7208.258301,549876600
6/20/2022,7600,7650,7350,7350,6948.289063,292091200
6/27/2022,7300,7400,7000,7050,6664.68457,516917200
7/4/2022,7100,7325,7075,7125,6735.586426,323244000
7/11/2022,7175,7250,7000,7150,6759.219727,307071100
7/18/2022,7100,7400,7100,7300,6901.021484,299975100
7/25/2022,7250,7500,7250,7500,7090.090332,426149700
8/1/2022,7600,7925,7500,7875,7444.594727,533921600
8/8/2022,7875,7975,7725,7950,7515.495605,411249000
8/15/2022,7950,8050,7825,8000,7562.763184,325181800
8/22/2022,8000,8150,7900,8150,7704.564453,418302200
8/29/2022,8100,8300,8050,8275,7822.732422,471424300
9/5/2022,8300,8500,8250,8375,7917.267578,461418900
9/12/2022,8375,8875,8375,8650,8177.237305,897190600
9/19/2022,8550,8650,8200,8425,7964.535156,408876400
9/26/2022,8375,8575,8250,8500,8035.435547,532968600
10/3/2022,8525,8625,8125,8300,7846.366211,380561500
10/10/2022,8200,8375,8150,8250,7799.099609,300942900
10/17/2022,8275,8900,8225,8900,8413.574219,456425400
10/24/2022,8825,8875,8550,8800,8319.040039,484565200
10/31/2022,9000,9000,8675,8850,8366.306641,447550600
11/7/2022,8850,8925,8675,8750,8271.772461,337394100
11/14/2022,8775,8900,8550,8725,8248.138672,394655400
11/21/2022,8900,9100,8850,9025,8531.741211,394105100
11/28/2022,8975,9400,8775,8775,8295.405273,1137335500
12/5/2022,8725,8750,8350,8700,8256.613281,776155700
12/12/2022,8625,8700,8400,8650,8209.161133,584999800
12/19/2022,8550,8700,8500,8575,8137.98584,202341800
12/26/2022,8600,8650,8500,8550,8114.258789,169970200
1/2/2023,8550,8600,8100,8450,8019.35498,403359900
1/9/2023,8400,8425,8000,8150,7734.644043,527091700
1/16/2023,8175,8375,8150,8300,7876.999023,348761800
1/23/2023,8300,8850,8200,8700,8256.613281,451530300
1/30/2023,8625,8750,8400,8725,8280.339844,566569100
2/6/2023,8775,8900,8700,8875,8422.695313,368727800
2/13/2023,8850,8950,8700,8750,8304.06543,269421500
2/20/2023,8775,8850,8625,8775,8327.791016,221582000
2/27/2023,8775,8775,8400,8400,7971.903809,418085000
3/6/2023,8350,8650,8350,8550,8114.258789,381325700
3/13/2023,8425,8475,8250,8400,7971.903809,518973200
3/20/2023,8400,8825,8375,8700,8256.613281,347913800
3/27/2023,8800,8900,8625,8800,8351.518555,475712700
4/3/2023,8825,8825,8650,8800,8518.450195,176383300
4/10/2023,8825,9050,8750,9025,8736.250977,382485500
4/17/2023,9050,9175,9025,9125,8833.051758,91178700
4/24/2023,9125,9200,9000,9050,8760.451172,387545900
5/1/2023,9100,9100,8875,9000,8712.050781,384509300
5/8/2023,8950,8975,8725,8775,8494.249023,329602000
5/15/2023,8800,9075,8700,9000,8712.050781,334085600
