Timestamp,Open,High,Low,Close,Adj Close,Volume
4/9/2019,5535,5550,5515,5535,4903.666016,29447000
4/10/2019,5550,5555,5515,5525,4894.806641,19508500
4/11/2019,5560,5560,5480,5480,4854.939453,25356000
4/12/2019,5460,5510,5460,5500,4872.658691,18577000
4/15/2019,5560,5570,5490,5505,4877.087891,68152000
4/16/2019,5495,5505,5475,5495,4868.228516,71017000
4/17/2019,5495,5495,5495,5495,4868.228516,0
4/18/2019,5600,5805,5580,5625,4983.400391,129332500
4/19/2019,5625,5625,5625,5625,4983.400391,0
4/22/2019,5625,5680,5585,5625,4983.400391,62837500
4/23/2019,5680,5710,5595,5630,4987.82959,48654000
4/24/2019,5640,5640,5600,5630,5033.425293,46975000
4/25/2019,5535,5620,5525,5595,5002.134766,61482500
4/26/2019,5585,5645,5570,5620,5024.485352,66204500
4/29/2019,5610,5695,5595,5685,5082.598633,65480500
4/30/2019,5670,5760,5670,5750,5140.710938,107607500
5/1/2019,5750,5750,5750,5750,5140.710938,0
5/2/2019,5800,5810,5675,5685,5082.598633,80879500
5/3/2019,5680,5750,5615,5675,5073.657715,58244500
5/6/2019,5600,5660,5595,5620,5024.485352,36649500
5/7/2019,5675,5710,5650,5660,5060.247559,59177000
5/8/2019,5600,5700,5595,5700,5096.008301,59062000
5/9/2019,5700,5700,5625,5630,5033.425293,126636500
5/10/2019,5610,5680,5600,5610,5015.54541,76130500
5/13/2019,5680,5695,5600,5610,5015.54541,63720500
5/14/2019,5560,5630,5495,5495,4912.730957,114800500
5/15/2019,5555,5555,5445,5460,4881.439941,72065000
5/16/2019,5460,5480,5280,5280,4720.513184,87939000
5/17/2019,5280,5310,5180,5180,4631.109375,74207000
5/20/2019,5180,5390,5140,5380,4809.916504,54764500
5/21/2019,5470,5495,5400,5460,4881.439941,97371000
5/22/2019,5530,5530,5400,5460,4881.439941,38519000
5/23/2019,5440,5605,5340,5605,5011.075195,54926000
5/24/2019,5610,5630,5605,5610,5015.54541,37402000
5/27/2019,5535,5700,5530,5685,5082.598633,68564000
5/28/2019,5655,5770,5655,5735,5127.299805,209923000
5/29/2019,5800,5895,5730,5740,5131.77002,133044500
5/30/2019,5740,5740,5740,5740,5131.77002,0
5/31/2019,5740,5870,5735,5820,5203.292969,96875000
