Timestamp,Open,High,Low,Close,Adj Close,Volume
12/31/2018,5200,5640,5115,5635,4992.259766,1859122000
1/31/2019,5680,5750,5335,5515,4885.947266,1493339500
2/28/2019,5565,5600,5425,5510,4881.518066,790477000
3/31/2019,5550,5805,5450,5750,5094.143066,989206000
4/30/2019,5750,5895,5140,5820,5203.292969,1700900500
5/31/2019,5820,6190,5790,5995,5359.749512,1178851500
6/30/2019,5995,6290,5865,6190,5534.087402,1048706500
7/31/2019,6190,6270,5765,6100,5453.623535,1525333000
8/31/2019,6100,6105,5780,6070,5426.803223,1255296000
9/30/2019,6010,6325,5950,6290,5623.490723,1249113500
10/31/2019,6300,6380,6210,6280,5614.549805,1296823000
11/30/2019,6280,6800,6270,6685,5976.634766,1275070500
12/31/2019,6685,7060,6480,6480,5811.690918,1551656000
1/31/2020,6480,6820,6035,6290,5641.286133,2120977500
2/29/2020,6290,6540,4325,5525,4955.183594,3403123000
3/31/2020,5560,6100,4800,5170,4636.795898,2545355000
4/30/2020,5170,5400,4680,5190,4735.200684,2378008000
5/31/2020,5190,5995,5190,5695,5195.948242,2216937000
6/30/2020,5700,6265,5675,6240,5693.189453,1503022500
7/31/2020,6220,6600,5825,6275,5725.122559,1099871500
8/31/2020,6280,6560,5390,5420,4945.047363,2821163000
9/30/2020,5485,5900,5440,5790,5282.623535,1463911000
10/31/2020,5760,6650,5720,6205,5661.257324,2529672000
11/30/2020,6220,7000,6220,6770,6176.745605,2005640000
12/31/2020,6770,7380,6705,6760,6186.305664,1834336000
1/31/2021,6760,7055,6595,6710,6140.548828,1413109500
2/28/2021,6830,7160,6145,6215,5687.557129,2371572500
3/31/2021,6215,6460,5980,6405,5861.432129,1974207500
4/30/2021,6480,6500,6260,6375,5915.757813,1683020000
5/31/2021,6375,6620,6000,6025,5590.971191,1580537000
6/30/2021,6060,6190,5960,5970,5539.933105,1220667000
7/31/2021,6060,6760,5905,6550,6078.151367,1771916500
8/31/2021,6550,7000,6410,7000,6495.734375,1465856000
9/30/2021,6900,8250,6710,7475,6936.516602,2017737600
10/31/2021,7550,7750,7175,7275,6750.924316,1544359400
11/30/2021,7275,7525,7275,7300,6796.85498,1280505100
12/31/2021,7325,7950,7300,7625,7099.455078,1472535200
1/31/2022,7625,8175,7625,8050,7495.162598,1312503600
2/28/2022,8000,8300,7650,7975,7425.331055,2254595300
3/31/2022,8075,8250,7625,8125,7680.931152,1705910600
4/30/2022,8125,8125,7250,7750,7326.427246,2608979400
5/31/2022,7750,7750,7250,7250,6853.753418,2042126700
6/30/2022,7300,7475,7000,7350,6948.288574,1422575700
7/31/2022,7350,8275,7350,8200,7751.832031,2055623100
8/31/2022,8150,8875,8125,8550,8082.703125,2394672300
9/30/2022,8450,8900,8125,8800,8319.040039,1737574600
10/31/2022,9000,9400,8550,9300,8791.710938,2309626900
11/30/2022,9275,9350,8350,8550,8082.703125,2124227400
12/31/2022,8575,8850,8000,8475,8043.080566,1941986600
1/31/2023,8575,8950,8400,8750,8304.06543,1332060800
2/28/2023,8725,8900,8250,8750,8304.06543,1975372100
3/31/2023,8825,9200,8650,9050,8760.450195,1097882300
4/30/2023,9050,9325,8700,9050,8760.450195,2259737500
5/31/2023,9050,9325,8950,9150,8857.251953,1050138400
6/30/2023,9025,9400,9025,9125,8833.051758,1307303300
7/31/2023,9175,9450,9100,9175,8881.451172,1406160600
8/31/2023,9200,9275,8825,8825,8542.650391,1277052400
9/30/2023,8900,9250,8700,8750,8470.048828,1473758400
10/31/2023,8750,9075,8600,8975,8687.850586,1367708700
11/30/2023,8925,9450,8675,9400,9099.253906,1671827300
12/31/2023,9400,9775,9300,9550,9288.561523,1474778300
1/31/2024,9650,10025,9525,9875,9604.664063,1483790400
2/29/2024,9900,10400,9750,10075,9799.188477,1470759300
3/31/2024,10075,10100,9250,9800,9751.364258,1979724400
4/30/2024,9900,9900,8775,9250,9204.09375,2435798200
5/31/2024,9350,9975,9050,9925,9875.744141,1469153500
6/30/2024,9850,10425,9800,10275,10224.00684,1359440200
7/31/2024,10200,10500,9875,10325,10273.75879,1337891600
8/31/2024,10375,10950,10125,10325,10273.75879,1632406200
9/30/2024,10400,10875,10150,10250,10199.13086,1496034800
10/31/2024,10275,10575,9800,10000,9950.37207,1536533300
11/30/2024,10000,10425,9550,9675,9675,1354890300
12/31/2024,9650,9925,9150,9450,9450,1615499200
1/31/2025,9400,9400,8825,9325,9325,1150298100
